location;budget;time_available;food_type;queue_tolerance;weather;recommended_place
second_building;medium;short;full_meal;medium;good;Stolovaya_1
campus_center;medium;short;full_meal;medium;good;Stolovaya_1
main_building;medium;short;full_meal;medium;bad;Stolovaya_1
bus_stop;medium;short;full_meal;medium;good;Stolovaya_1
second_building;medium;medium;full_meal;medium;good;Minutka_Cafe
campus_center;medium;medium;full_meal;medium;good;Minutka_Cafe
main_building;medium;short;full_meal;low;bad;Minutka_Cafe
bus_stop;medium;medium;full_meal;medium;good;Minutka_Cafe
second_building;low;short;pancakes;low;good;Siberian_Pancakes
campus_center;low;medium;pancakes;low;good;Siberian_Pancakes
main_building;low;very_short;pancakes;low;bad;Siberian_Pancake
bus_stop;low;medium;pancakes;low;good;Siberian_Pancakes
second_building;low;short;coffee;low;good;Starbooks_Main
campus_center;low;short;coffee;low;good;Starbooks_Main
main_building;low;very_short;coffee;low;good;Starbooks_Main
bus_stop;low;medium;coffee;low;good;Starbooks_Main
second_building;low;medium;coffee;medium;good;Starbooks_SibGMU
campus_center;low;medium;coffee;medium;good;Starbooks_SibGMU
main_building;low;medium;coffee;low;good;Starbooks_SibGMU
bus_stop;low;medium;coffee;medium;good;Starbooks_SibGMU
second_building;low;very_short;full_meal;low;bad;Second_Building_Cafe
campus_center;low;medium;full_meal;medium;good;Second_Building_Cafe
main_building;low;medium;full_meal;medium;good;Second_Building_Cafe
bus_stop;low;medium;full_meal;high;good;Second_Building_Cafe
second_building;low;very_short;coffee;low;bad;XO_Bakery
campus_center;low;medium;coffee;low;good;XO_Bakery
main_building;low;medium;coffee;low;good;XO_Bakery
bus_stop;low;medium;coffee;low;good;XO_Bakery
second_building;low;very_short;snack;low;good;Vending_Machine
campus_center;low;medium;snack;low;good;Vending_Machine
main_building;low;medium;snack;low;good;Vending_Machine
bus_stop;low;medium;snack;low;good;Vending_Machine
second_building;low;medium;full_meal;high;good;Abrikos
campus_center;medium;medium;full_meal;high;good;Abrikos
main_building;medium;medium;full_meal;high;good;Abrikos
bus_stop;medium;medium;full_meal;high;good;Abrikos
second_building;low;medium;shawarma;high;good;Bezumno
campus_center;low;medium;shawarma;high;good;Bezumno
main_building;low;medium;shawarma;high;good;Bezumno
bus_stop;low;medium;shawarma;high;good;Bezumno
second_building;low;medium;coffee;low;good;Belka_Coffee
campus_center;low;short;coffee;low;good;Belka_Coffee
main_building;low;medium;coffee;low;good;Belka_Coffee
bus_stop;low;very_short;coffee;low;good;Belka_Coffee
second_building;medium;medium;full_meal;high;good;Rostics
campus_center;medium;medium;full_meal;high;good;Rostics
main_building;medium;medium;full_meal;high;good;Rostics
bus_stop;medium;medium;full_meal;high;good;Rostics
second_building;low;medium;snack;low;good;Nash_Gastronom
campus_center;low;medium;snack;low;good;Nash_Gastronom
main_building;low;medium;snack;low;good;Nash_Gastronom
bus_stop;low;short;snack;low;good;Nash_Gastronom
second_building;low;medium;coffee;low;good;Baba_Roma
campus_center;low;short;coffee;low;good;Baba_Roma
main_building;low;medium;coffee;low;good;Baba_Roma
bus_stop;low;short;coffee;low;good;Baba_Roma
second_building;high;medium;full_meal;low;good;Blizhe_Gastro
campus_center;high;medium;full_meal;low;good;Blizhe_Gastro
main_building;high;medium;full_meal;low;good;Blizhe_Gastro
bus_stop;high;medium;full_meal;low;good;Blizhe_Gastro
second_building;high;medium;full_meal;medium;good;Baguette_Omelet
campus_center;high;medium;full_meal;medium;bad;Baguette_Omelet
main_building;high;medium;full_meal;medium;good;Baguette_Omelet
bus_stop;high;medium;full_meal;medium;bad;Baguette_Omelet
second_building;low;medium;snack;medium;good;Yarche
campus_center;low;medium;snack;medium;good;Yarche
main_building;low;short;snack;medium;good;Yarche
bus_stop;low;medium;snack;medium;good;Yarche
second_building;high;medium;full_meal;medium;good;Vechniy_Zov
campus_center;high;medium;full_meal;medium;good;Vechniy_Zov
main_building;high;medium;full_meal;medium;good;Vechniy_Zov
bus_stop;high;medium;full_meal;medium;good;Vechniy_Zov
